5000 96078
6000 129586
7000 178839
8000 235900
9000 304709
10000 385899
11000 465111
12000 554477
13000 663898
14000 772790
15000 890224
16000 1018917
17000 1154123
18000 1312251
19000 1456417
20000 1606221
21000 1824945
22000 1974953
23000 2150710
24000 2359324
25000 2568965
26000 2769528
27000 2991964
28000 3229944
29000 3494783
30000 3687348
